Date,AGG,DBC,DFE,DIA,DXJ,EEM,EFA,EWG,EWH,EWI,EWT,EWU,EWW,EWY,EWZ,EZU
2007-07-23,254600,220000,17000,12532000,4300,34916799,4939500,1729700,1854800,27000,10016100,226700,2545800,953300,7147300,70400
2007-07-24,208700,189000,22900,20179000,29900,52623099,9790100,1560200,3058400,366200,10079400,883500,4588300,2365100,14188900,585000
2007-07-25,345100,274200,12200,22051800,3400,42610800,8079000,2169200,4715100,128900,9424700,651900,5110700,2180300,16009700,386000
2007-07-26,304900,211900,37300,38591900,18600,97200600,13636500,2008100,5435700,238500,23909300,415700,6210900,5785300,24553300,487600
2007-07-27,299600,173800,23900,27215100,7500,62716200,9819900,2604700,5238800,55600,13867500,1047700,5846700,3942300,20781000,778200
2007-07-30,388700,179600,31600,22009000,8500,46411401,7724600,1939800,3229500,118900,9579000,349300,4596500,2409600,13685400,580400
2007-07-31,528600,388600,17600,22088900,1800,55731801,9855800,2182700,4354100,79500,15485500,454700,4843900,3156200,14374300,324200
2007-08-01,306200,449700,30300,34221300,27000,86824599,9585500,1859700,4434800,154500,14623500,357200,4794000,5583200,16100100,360400
2007-08-02,562300,185800,8000,21628700,28900,41899401,8210600,4146900,4763700,426500,6999100,156000,3587200,1327900,12844300,257200
2007-08-03,371200,137200,34900,33655200,23400,64128201,7871300,1415200,3847900,215800,14208700,161300,3386300,4439900,15275500,506800
2007-08-06,220000,253300,24600,26620500,4700,67307499,7129700,862700,5505000,181100,8075700,259100,5348300,3230000,18923300,387000
2007-08-07,308900,181500,7700,30705000,200,49340799,7481500,2094800,2983400,112400,9106000,398400,5163200,2838000,17581500,165600
2007-08-08,272700,169800,6200,23801700,5300,46617099,8033200,755900,4281600,170900,7035000,249000,4286100,4234000,13822300,579000
2007-08-09,271600,287500,25700,37292100,4400,77850501,8794300,2110900,3354900,27600,10184600,497900,5231100,2518200,18244700,452200
2007-08-10,368300,434500,28600,31313400,14800,71563701,9998300,1070700,4211500,234000,8537400,900300,5515400,3767500,17571100,398200
2007-08-13,210800,155000,9500,14902900,11600,33405099,5546100,384000,3432800,657400,5692100,890700,3237600,2101200,10747800,289800
2007-08-14,250700,169800,25100,20504800,10900,47831799,7309400,1285600,2132800,131700,6353700,159800,5863300,3004700,18484400,218400
2007-08-15,218400,256200,18000,24852300,10700,77182899,11229700,3926000,3691400,123900,14532900,279600,6713600,4008000,24149000,1424200
2007-08-16,541400,455900,73100,51543700,13100,18795501,17767200,3557600,7561300,161100,17860000,271900,10636600,8424000,37625000,2694400
2007-08-17,311800,287500,20700,31796300,2700,94350201,11070800,822000,8111300,70800,11874300,414000,6794500,5675000,27456400,652600
2007-08-20,248600,266400,15400,15473700,1200,60238401,7306500,2174300,4653800,47400,11297100,159800,4158000,3801900,16454500,356000
2007-08-21,222300,315100,8900,12777800,20700,39895800,6239900,853300,5389600,268200,12972300,146400,3173800,2190900,12188100,822800
2007-08-22,195100,185100,15300,12673600,2400,51478401,8227000,1964900,8329600,153100,8546200,661000,4215500,3401800,20506000,741600
2007-08-23,452100,281000,17500,13868600,200,45870300,4909600,1246700,9959100,68800,11599500,520600,4750700,2939000,16422600,409600
2007-08-24,293700,175100,13600,7852100,700,50384400,4826400,1167700,4796200,52100,7609500,262100,5324700,2324800,13401200,270200
2007-08-27,301200,102300,15500,7893400,2900,27273900,7690100,680900,6595400,68300,7166200,185000,1494400,1484200,9551700,121200
2007-08-28,187600,112200,18200,12875700,2100,56782299,8213000,1796400,5678400,42600,11053500,223200,2974000,3053200,15587900,179600
2007-08-29,201300,264700,37800,10545200,6500,41594301,5955400,3856600,3712200,63100,6767300,68500,3194500,3184300,14900800,234600
2007-08-30,186000,182500,24100,12399200,1600,28738401,6003300,869300,3664600,28600,4205000,463800,2409800,2401000,13918000,271000
2007-08-31,200400,122500,51300,10709500,1700,50204799,7249800,637400,6309100,46700,6199300,541600,2572200,2882000,14695800,541000
2007-09-04,315400,305200,10500,8349600,2900,33424899,5280500,1455600,5172800,301400,8032100,4000800,3694300,2809600,11512000,917400
2007-09-05,294000,222100,11600,10298600,2400,37634799,7351100,748700,2735700,151300,9850100,1186600,2377500,1817100,9769600,218200
2007-09-06,761000,214500,9900,10005300,800,20814999,4918700,434900,4494000,290400,6563100,1555000,1499900,896500,7975400,240800
2007-09-07,353100,149200,21700,17496000,4900,48268200,7714800,836600,5043000,355100,8736200,637600,3135900,1982900,13432000,375600
2007-09-10,285500,154200,16400,14119100,84200,30974799,4079500,482800,8372200,96300,8300900,284300,3741800,2389400,12253400,207000
2007-09-11,686900,117200,7400,11093800,12600,29747100,7176600,506200,3621600,107800,6074400,367300,2348400,1349300,9955100,764600
2007-09-12,1633300,207600,3100,10476600,5100,29129700,4905600,404300,5346600,27100,9335800,480100,3017600,2904500,8407300,501800
2007-09-13,788000,468600,13500,7845100,5600,21788901,6411100,974500,3287100,84900,8622200,518500,2267600,1879800,7965100,846600
2007-09-14,320100,191700,5600,10081400,3100,16897599,5232900,449200,5548100,40400,8235300,361400,2592300,1835900,9183400,292800
2007-09-17,277300,124300,22700,8569700,3100,22836300,5667700,612900,5162500,29700,6734500,850400,3184800,1315100,7518100,377000
2007-09-18,338000,229600,26000,16985700,8100,64197300,9029000,1503200,7477000,231600,13083800,495900,4313700,4515100,15538300,226400
2007-09-19,441100,243600,22100,12295300,1100,58124601,6561600,1296800,8200000,167800,9420800,201200,4401100,3321300,14146000,307600
2007-09-20,282000,519300,33400,9515600,10200,34504500,7528200,715400,4976800,103000,6993800,181700,2571800,2169100,11190500,248800
2007-09-21,465700,252200,46500,7230300,5200,27102999,5798900,648100,5226000,75900,8799600,507900,2508300,1694100,7157500,255800
2007-09-24,268400,181800,8900,9296500,1300,29962200,5456500,428000,6517500,32600,4452800,289100,1812000,1151400,10470100,405400
2007-09-25,259900,177200,8000,12701900,5500,26573901,4664700,1424300,3076000,179200,5612800,233900,2794900,1681200,8432900,460400
2007-09-26,226400,217500,11200,8222200,7300,26185599,5382500,778400,4473500,73700,9498100,186600,2162000,1695100,9848900,409800
2007-09-27,380900,248900,21900,8809200,7300,29181399,5964700,1633200,5007400,22700,9057900,221100,2620800,1645500,9962500,222600
2007-09-28,334700,444800,12400,8646300,4700,35088900,11731600,897000,5845200,107300,8728500,308800,2320300,2146300,9859800,109400
2007-10-01,3102200,196500,36500,10039000,2100,37788600,8415400,1359900,9237300,74100,9389500,294100,3029500,2515900,11690900,421800
2007-10-02,281900,218200,60000,10067800,10600,38977500,5729000,690000,5696800,83600,12093300,412800,5738800,2860200,13891700,642000
2007-10-03,327000,159400,7900,7794600,2300,46767000,6814300,874800,9354100,459500,13342600,306500,3598500,1544100,13333600,454000
2007-10-04,445000,273800,30100,7148500,2500,22987401,3003700,705300,8154000,16600,7649400,361400,2648200,1173400,10430700,333600
2007-10-05,749000,167800,8600,8306600,700,41567001,5428700,997300,7092300,73200,10800400,1524700,3373000,2085800,13235500,353800
2007-10-08,367700,193100,5900,4586100,2300,25681101,3753300,1785800,5665600,20500,3406900,227500,2331800,1244300,7907900,200800
2007-10-09,182700,242600,25700,7537700,5900,29375700,4792500,412900,5248900,79100,8187600,202500,2862600,1640600,12127100,483400
2007-10-10,711500,306900,30400,9440200,2600,36495501,5985900,816100,5618100,22700,5412200,561000,3626700,1180300,11628200,391200
2007-10-11,257900,204300,16800,21691400,5800,66966399,7047800,1178100,10626800,38700,12914700,278800,7612000,2824000,20468900,1014400
2007-10-12,470200,164900,4500,7531800,2800,27296400,4326900,398900,5832600,55500,6550800,155500,2426500,1464200,12448000,143600
2007-10-15,200200,156700,4500,12332500,5300,39138099,5317600,943800,7684200,436500,5615200,507900,2680800,2492000,15920200,140800
2007-10-16,264900,290400,11800,13403600,2700,59471199,7367400,1014500,8869100,64700,6734900,279900,2355600,2580200,14093900,300400
2007-10-17,243600,254100,4200,18875400,3900,64748001,6768600,1488900,13277300,32800,4711900,243100,3644400,2570900,14515800,304400
2007-10-18,270000,337500,2700,11002300,5000,47650200,3891200,570400,4994200,18600,6073300,241500,2944500,1742500,13097700,181400
2007-10-19,732600,227600,12400,31301500,17300,78685899,9077900,2603800,8066800,23700,6657600,221900,5339100,2452500,21630000,200600
2007-10-22,284500,293600,10600,16074300,8700,58690101,6572600,2305900,8245800,87400,5334800,155900,3341100,2979500,18029400,547800
2007-10-23,328600,861700,5100,12073300,6700,55383801,7095400,657600,4763300,130600,4653600,292800,1878000,1646400,10805500,227600
2007-10-24,779400,212300,1000,21003200,19400,49696701,9812000,1418500,8574900,202700,7502500,278700,2642200,3047300,15334100,276000
2007-10-25,232100,332500,6600,16202600,5800,41223099,8514300,1305600,6057200,210900,5047100,289900,4084100,3365000,15439200,413400
2007-10-26,347900,633600,3200,9406900,1500,40610799,5992700,477400,6873400,30500,7173100,557900,3028200,4021500,10357100,139600
2007-10-29,212600,435700,2600,8596100,600,37596999,5636700,696100,9564800,27600,7601800,220000,5469000,3466300,11871700,707800
2007-10-30,252300,282900,5400,8456700,3400,32363100,5995100,344900,9342600,51600,5848400,259000,3584000,3001800,8665200,488200
2007-10-31,738800,401000,1900,19008400,700,59842299,8723300,785300,14700900,167100,7515000,279600,3850900,3571000,14326700,458600
2007-11-01,251200,377300,10600,24450400,3500,53223999,9229000,1136900,7435900,62600,12036300,274700,4471600,3266700,15183400,301000
2007-11-02,400800,203400,7900,19873200,13800,56497299,9477000,1414200,7789400,462000,8933500,246400,2442900,2621500,13278100,441600
2007-11-05,204400,368700,6200,12683600,5100,37602399,6731500,639300,13664500,124700,8850800,4908000,5059100,2219900,11806500,439800
2007-11-06,406500,447400,9700,10217800,8600,39020700,6576800,408300,5612300,97200,7290700,1246200,3999000,2804100,11049700,357200
2007-11-07,715000,510100,7600,17522600,3400,46194300,7935400,972700,6646100,160000,6516000,858500,6551500,2232200,14576700,370800
2007-11-08,468500,471500,11400,36038100,3200,80216499,9532600,2813700,12512000,200700,11956900,2041200,6246300,3974100,28055600,1212600
